feature,importance,rank,importance_pct,cumulative_pct,category
rec_yds__player_roll10,101234.328125,1,22.9,22.9,rolling
rec_yds__player_hist,29318.9453125,2,6.63,29.53,historical
targets__player_roll10,19350.927734375,3,4.38,33.91,rolling
is_rb,9181.8837890625,4,2.08,35.99,indicators
targets__player_roll3,6884.45068359375,5,1.56,37.55,rolling
targets__player_hist_z,5519.77001953125,6,1.25,38.8,historical
targets__player_roll5,5364.9033203125,7,1.21,40.01,rolling
rec_yds__player_hist_z,4943.72802734375,8,1.12,41.13,historical
is_wr,4939.38623046875,9,1.12,42.25,indicators
rec__player_roll10,4673.8984375,10,1.06,43.31,rolling
rec_td__player_roll5,3651.031005859375,11,0.83,44.14,rolling
rec_air_yds__player_hist_z,3639.41357421875,12,0.82,44.96,historical
rec_td__player_std5,3416.005126953125,13,0.77,45.73,rolling
rec_target_int__player_std10,3197.03125,14,0.72,46.45,rolling
rec_yds__player_roll5,3129.953369140625,15,0.71,47.16,rolling
rec_target_int__player_roll5,2977.151611328125,16,0.67,47.83,rolling
rec_air_yds__player_roll5,2891.37060546875,17,0.65,48.48,rolling
rec_yds__player_roll3,2814.213623046875,18,0.64,49.12,rolling
rec_td__player_roll10,2808.257080078125,19,0.64,49.76,rolling
rec_td__player_std3,2778.884521484375,20,0.63,50.39,rolling
rec_td__player_roll3,2761.886474609375,21,0.62,51.01,rolling
rec_yac__player_hist_z,2723.77587890625,22,0.62,51.63,historical
rec_td__player_hist_z,2716.589111328125,23,0.61,52.24,historical
rec_target_int__player_std5,2683.297607421875,24,0.61,52.85,rolling
targets__player_std10,2646.16259765625,25,0.6,53.45,rolling
rec_adot__player_hist_z,2593.248291015625,26,0.59,54.04,historical
rec_target_int__player_hist,2580.198974609375,27,0.58,54.62,historical
targets__player_std3,2578.800537109375,28,0.58,55.2,rolling
rec_broken_tackles_per_rec__player_std10,2501.143310546875,29,0.57,55.77,rolling
rec_target_int__player_roll3,2494.628662109375,30,0.56,56.33,rolling
targets__player_hist,2487.18994140625,31,0.56,56.89,historical
rec_yds__player_std10,2482.373291015625,32,0.56,57.45,rolling
rec__player_std5,2478.613037109375,33,0.56,58.01,rolling
rec_broken_tackles_per_rec__player_std5,2413.681396484375,34,0.55,58.56,rolling
rec_broken_tackles_per_rec__player_roll5,2403.037841796875,35,0.54,59.1,rolling
rec_drop_pct__player_roll5,2368.20166015625,36,0.54,59.64,rolling
rec_air_yds_per_rec__player_roll3,2357.272216796875,37,0.53,60.17,rolling
rec_drop_pct__player_std5,2351.686767578125,38,0.53,60.7,rolling
rec_adot__player_roll5,2347.647705078125,39,0.53,61.23,rolling
rec_yac_per_rec__player_hist_z,2317.56201171875,40,0.52,61.75,historical
rec_air_yds__player_roll10,2310.380615234375,41,0.52,62.27,rolling
game_total,2281.833984375,42,0.52,62.79,lines
rec__player_hist_z,2278.2080078125,43,0.52,63.31,historical
rec_broken_tackles_per_rec__player_hist,2256.013427734375,44,0.51,63.82,historical
rec_broken_tackles_per_rec__player_roll10,2255.029296875,45,0.51,64.33,rolling
rec_yac_per_rec__player_hist,2245.384521484375,46,0.51,64.84,historical
rec_target_int__player_std3,2230.96240234375,47,0.5,65.34,rolling
rec_adot__player_std10,2222.83642578125,48,0.5,65.84,rolling
rec_drop_pct__player_roll3,2222.7607421875,49,0.5,66.34,rolling
yds_per_rec__hist,2211.56103515625,50,0.5,66.84,historical
rec_yac__player_hist,2196.003662109375,51,0.5,67.34,historical
rec_pass_rating__player_roll5,2184.20703125,52,0.49,67.83,rolling
rec_target_int__player_roll10,2179.408203125,53,0.49,68.32,rolling
rec_air_yds_per_rec__player_hist,2145.14306640625,54,0.49,68.81,historical
rec_yac__player_std5,2141.5361328125,55,0.48,69.29,rolling
rec_pass_rating__player_hist,2141.325439453125,56,0.48,69.77,historical
team_implied_total,2120.2197265625,57,0.48,70.25,lines
rec_adot__player_roll3,2110.069580078125,58,0.48,70.73,rolling
rec_yac_per_rec__player_std10,2108.2998046875,59,0.48,71.21,rolling
rec_air_yds__player_hist,2106.14111328125,60,0.48,71.69,historical
rec_air_yds_per_rec__player_roll5,2104.405029296875,61,0.48,72.17,rolling
rec_yac__player_roll5,2095.87255859375,62,0.47,72.64,rolling
rec_broken_tackles_per_rec__player_hist_z,2093.283447265625,63,0.47,73.11,historical
rec_yac_per_rec__player_roll5,2088.053466796875,64,0.47,73.58,rolling
rec_adot__player_hist,2082.880126953125,65,0.47,74.05,historical
days_rest,2068.398193359375,66,0.47,74.52,other
rec_pass_rating__player_roll3,2067.40966796875,67,0.47,74.99,rolling
rec_yac__player_std3,2063.4560546875,68,0.47,75.46,rolling
rec_yac_per_rec__player_std3,2060.5986328125,69,0.47,75.93,rolling
rec_air_yds__player_roll3,2058.09228515625,70,0.47,76.4,rolling
rec_broken_tackles_per_rec__player_std3,2055.03125,71,0.46,76.86,rolling
rec__player_roll3,2052.3515625,72,0.46,77.32,rolling
rec_drop_pct__player_std3,2050.66552734375,73,0.46,77.78,rolling
rec_air_yds__player_std10,2044.160888671875,74,0.46,78.24,rolling
rec__player_hist,2040.0693359375,75,0.46,78.7,historical
rec_yds__player_std3,2038.27099609375,76,0.46,79.16,rolling
rec_air_yds_per_rec__player_hist_z,2032.2510986328125,77,0.46,79.62,historical
rec_yac_per_rec__player_std5,2015.9051513671875,78,0.46,80.08,rolling
rec_td__player_hist,2002.4384765625,79,0.45,80.53,historical
rec_air_yds__player_std3,1979.04638671875,80,0.45,80.98,rolling
rec_drop_pct__player_hist_z,1978.7110595703125,81,0.45,81.43,historical
rec__player_std3,1944.61767578125,82,0.44,81.87,rolling
rec_yds__player_std5,1935.3380126953125,83,0.44,82.31,rolling
weeks_from_bye,1932.254638671875,84,0.44,82.75,other
targets__player_std5,1926.3238525390625,85,0.44,83.19,rolling
