feature,importance,rank,importance_pct,cumulative_pct,category
rec__player_roll10,589.104736328125,1,27.98,27.98,rolling
targets__player_roll10,53.959388732910156,2,2.56,30.54,rolling
targets__player_roll5,38.77309799194336,3,1.84,32.38,rolling
rec__player_roll5,38.69203567504883,4,1.84,34.22,rolling
rec__player_hist_z,35.142330169677734,5,1.67,35.89,historical
rec__player_roll3,23.787527084350586,6,1.13,37.02,rolling
rec_yds__player_hist_z,20.955142974853516,7,1.0,38.02,historical
targets__player_roll3,19.391206741333008,8,0.92,38.94,rolling
is_rb,19.343212127685547,9,0.92,39.86,indicators
rec_target_int__player_roll5,18.040311813354492,10,0.86,40.72,rolling
rec_yac__player_hist_z,17.01209259033203,11,0.81,41.53,historical
rec_yds__player_roll5,16.67109489440918,12,0.79,42.32,rolling
rec_td__player_roll10,16.19489097595215,13,0.77,43.09,rolling
rec_yac__player_hist,16.03309440612793,14,0.76,43.85,historical
rec_broken_tackles_per_rec__player_std5,15.326533317565918,15,0.73,44.58,rolling
rec_td__player_roll3,14.855232238769531,16,0.71,45.29,rolling
rec_yac__player_roll10,14.815642356872559,17,0.7,45.99,rolling
rec_yds__player_roll3,14.202230453491211,18,0.67,46.66,rolling
rec_td__player_std5,13.713359832763672,19,0.65,47.31,rolling
rec_td__player_hist,13.69080924987793,20,0.65,47.96,historical
rec_broken_tackles_per_rec__player_roll5,13.687907218933105,21,0.65,48.61,rolling
rec_drop_pct__player_std3,13.638691902160645,22,0.65,49.26,rolling
rec_drop_pct__player_std5,13.34572696685791,23,0.63,49.89,rolling
rec_adot__player_roll5,13.270404815673828,24,0.63,50.52,rolling
rec_drop_pct__player_roll3,13.120383262634277,25,0.62,51.14,rolling
targets__player_hist_z,12.925772666931152,26,0.61,51.75,historical
is_wr,12.913190841674805,27,0.61,52.36,indicators
rec_broken_tackles_per_rec__player_roll3,12.863396644592285,28,0.61,52.97,rolling
rec_yac_per_rec__player_hist,12.859952926635742,29,0.61,53.58,historical
rec_pass_rating__player_hist_z,12.755495071411133,30,0.61,54.19,historical
rec_target_int__player_std10,12.591753959655762,31,0.6,54.79,rolling
rec_yac__player_roll5,12.310432434082031,32,0.58,55.37,rolling
rec_target_int__player_std5,12.28134822845459,33,0.58,55.95,rolling
rec_yds__player_hist,12.168028831481934,34,0.58,56.53,historical
rec_pass_rating__player_hist,12.104351043701172,35,0.57,57.1,historical
rec_td__player_hist_z,11.883667945861816,36,0.56,57.66,historical
targets__player_std5,11.881546974182129,37,0.56,58.22,rolling
rec_broken_tackles_per_rec__player_std10,11.81411361694336,38,0.56,58.78,rolling
rec_yds__player_roll10,11.773634910583496,39,0.56,59.34,rolling
rec_yac_per_rec__player_roll10,11.758699417114258,40,0.56,59.9,rolling
rec_air_yds_per_rec__player_hist_z,11.725908279418945,41,0.56,60.46,historical
rec_broken_tackles_per_rec__player_std3,11.714563369750977,42,0.56,61.02,rolling
rec_air_yds__player_hist_z,11.710429191589355,43,0.56,61.58,historical
player_vs_opp_games,11.67659854888916,44,0.55,62.13,matchup
rec_drop_pct__player_roll10,11.641441345214844,45,0.55,62.68,rolling
rec_air_yds_per_rec__player_roll10,11.507264137268066,46,0.55,63.23,rolling
targets__player_hist,11.4576416015625,47,0.54,63.77,historical
team_implied_total,11.404516220092773,48,0.54,64.31,lines
rec_yac__player_roll3,11.209972381591797,49,0.53,64.84,rolling
rec_air_yds__player_std3,11.187286376953125,50,0.53,65.37,rolling
rec_yds__player_std10,11.057259559631348,51,0.53,65.9,rolling
rec_yac_per_rec__player_hist_z,11.025419235229492,52,0.52,66.42,historical
rec_yac_per_rec__player_roll3,11.006950378417969,53,0.52,66.94,rolling
