feature1,feature2,correlation
rec_air_yds__player_hist,rec_air_yds__player_hist_z,0.9895686892398589
rec_adot__player_hist,rec_adot__player_hist_z,0.9867568467040265
rec_air_yds_per_rec__player_hist,rec_air_yds_per_rec__player_hist_z,0.9859618866588956
rec_yds__player_hist,rec_yds__player_hist_z,0.979252602738869
targets__player_hist,targets__player_hist_z,0.9753695984194244
rec__player_hist,rec__player_hist_z,0.9731773049531812
rec_adot__player_hist,rec_adot__player_roll10,0.9723079452965334
rec_yac__player_hist,rec_yac__player_hist_z,0.9679669854457539
rec_td__player_hist,rec_td__player_hist_z,0.964842620256952
rec__player_hist_z,targets__player_hist_z,0.9610759335791289
rec_adot__player_roll10,rec_adot__player_roll5,0.9609476278020833
rec_air_yds_per_rec__player_hist,rec_air_yds_per_rec__player_roll10,0.9598510886568601
rec__player_hist,targets__player_hist,0.9596855845207493
rec_adot__player_hist_z,rec_adot__player_roll10,0.9587613809774562
rec_air_yds__player_hist,rec_air_yds__player_roll10,0.957864542805437
targets__player_roll10,targets__player_roll5,0.9573278966363605
rec_yac_per_rec__player_hist,rec_yac_per_rec__player_hist_z,0.9570841503529632
rec_air_yds__player_roll10,rec_air_yds__player_roll5,0.956393993785397
rec__player_roll10,targets__player_roll10,0.9549515744838897
targets__player_roll3,targets__player_roll5,0.9521973063194991
rec_broken_tackles_per_rec__player_hist,rec_broken_tackles_per_rec__player_hist_z,0.9492070388166378
rec_adot__player_roll3,rec_adot__player_roll5,0.9491832282929077
rec_air_yds__player_roll3,rec_air_yds__player_roll5,0.947883631458286
rec_air_yds__player_hist_z,rec_air_yds__player_roll10,0.9471188211650516
rec__player_roll10,rec__player_roll5,0.9465179516101541
targets__player_hist,targets__player_roll10,0.9457108787253309
rec__player_roll5,targets__player_roll5,0.9455527476795774
rec_air_yds_per_rec__player_hist_z,rec_air_yds_per_rec__player_roll10,0.9455068849775093
rec_yds__player_roll10,rec_yds__player_roll5,0.9452966905723812
rec_yds__player_hist,rec_yds__player_roll10,0.9437307861786016
rec_air_yds_per_rec__player_roll10,rec_air_yds_per_rec__player_roll5,0.9424728193486879
rec__player_roll3,rec__player_roll5,0.9404807437078644
rec_target_int__player_hist,rec_target_int__player_hist_z,0.9376950438918209
rec__player_hist_z,targets__player_hist,0.9366203881995953
rec_yds__player_roll3,rec_yds__player_roll5,0.9364960913104994
catch_rate__player_hist,catch_rate__player_roll10,0.9363658290094834
rec_drop_pct__player_hist,rec_drop_pct__player_hist_z,0.9356465941294393
rec__player_hist,rec__player_roll10,0.9352268406131439
rec__player_roll3,targets__player_roll3,0.9344224903782646
rec__player_hist,targets__player_hist_z,0.9341971765563503
rec_adot__player_hist,rec_adot__player_roll5,0.9318782983622617
rec_yds__player_hist_z,targets__player_hist_z,0.9318541393094852
rec_air_yds_per_rec__player_roll3,rec_air_yds_per_rec__player_roll5,0.9302318557170544
rec_yac_per_rec__player_hist,rec_yac_per_rec__player_roll10,0.9272539442079694
rec_yds__player_hist,targets__player_hist,0.9245412151508215
rec_yds__player_hist_z,rec_yds__player_roll10,0.9227736653435693
targets__player_hist_z,targets__player_roll10,0.9220436767016746
rec_drop_pct__player_hist,rec_drop_pct__player_roll10,0.9199951304503601
rec_yac__player_hist,rec_yac__player_roll10,0.9192454417484065
rec_adot__player_hist_z,rec_adot__player_roll5,0.9184575251522912
rec_yac__player_roll10,rec_yac__player_roll5,0.9179102538795981
rec__player_roll10,targets__player_roll5,0.9175046123435651
rec_pass_rating__player_hist,rec_pass_rating__player_roll10,0.9146517176696215
rec_air_yds__player_hist,rec_air_yds__player_roll5,0.9112834177232232
rec_yac__player_roll3,rec_yac__player_roll5,0.9101777970545306
rec__player_hist_z,rec__player_roll10,0.9096164851882433
rec_yds__player_roll10,targets__player_roll10,0.9095627629513802
rec_adot__player_roll10,rec_adot__player_roll3,0.9094606138353185
rec_yds__player_hist,targets__player_hist_z,0.9090295341946792
rec__player_hist,targets__player_roll10,0.9078184497127513
targets__player_roll10,targets__player_roll3,0.9066226905710547
rec_yds__player_hist_z,targets__player_hist,0.9056183597095556
rec__player_hist_z,rec_yds__player_hist_z,0.9045868448829232
rec__player_roll5,targets__player_roll3,0.9041674325294929
rec_air_yds__player_roll10,rec_air_yds__player_roll3,0.9036929676919526
rec__player_hist,rec_yds__player_hist,0.902318464118973
rec_air_yds_per_rec__player_hist,rec_air_yds_per_rec__player_roll5,0.9018085055304811
rec_air_yds__player_hist_z,rec_air_yds__player_roll5,0.9005925488395501
rec__player_roll5,targets__player_roll10,0.9000113439590207
