feature,importance,rank,importance_pct,cumulative_pct,category
pass_yds__player_roll10,14.007418632507324,1,5.15,5.15,rolling
pass_td__player_hist,7.9365644454956055,2,2.92,8.07,historical
pass_td__player_roll3,5.869995594024658,3,2.16,10.23,rolling
pass_air_yds__player_roll5,2.837045192718506,4,1.04,11.27,rolling
pass_int__player_hist_z,2.4126157760620117,5,0.89,12.16,historical
pass_att__player_roll10,2.3051884174346924,6,0.85,13.01,rolling
pass_hits__player_std5,2.228091239929199,7,0.82,13.83,rolling
pass_int__player_roll3,2.1411120891571045,8,0.79,14.62,rolling
qb_rush_yac__player_roll5,2.0680782794952393,9,0.76,15.38,rolling
pass_air_yds__player_roll3,2.0132617950439453,10,0.74,16.12,rolling
pass_cmp__player_hist,1.9695545434951782,11,0.72,16.84,historical
qb_rush_td__player_roll5,1.9613032341003418,12,0.72,17.56,rolling
pass_air_yds__player_roll10,1.9241307973861694,13,0.71,18.27,rolling
qb_rush_td__player_std10,1.8827333450317383,14,0.69,18.96,rolling
pass_air_yds_per_att__player_roll10,1.8652609586715698,15,0.69,19.65,rolling
pass_yac_per_cmp__player_roll10,1.8526973724365234,16,0.68,20.33,rolling
pass_hits__player_roll10,1.833485722541809,17,0.67,21.0,rolling
pass_hits__player_hist_z,1.8175621032714844,18,0.67,21.67,historical
qb_rush_att__player_hist,1.8142935037612915,19,0.67,22.34,historical
pass_hits__player_std10,1.793605923652649,20,0.66,23.0,rolling
pass_air_yds__player_hist,1.793540358543396,21,0.66,23.66,historical
pass_air_yds_per_att__player_roll3,1.7650033235549927,22,0.65,24.31,rolling
pass_blitzed__player_roll3,1.7467528581619263,23,0.64,24.95,rolling
pass_hits__player_std3,1.7099976539611816,24,0.63,25.58,rolling
pass_yac_per_cmp__player_std10,1.696942925453186,25,0.62,26.2,rolling
pass_pressured_pct__player_hist_z,1.667917013168335,26,0.61,26.81,historical
pass_rating__player_roll10,1.6565885543823242,27,0.61,27.42,rolling
qb_rush_yac__player_hist_z,1.654192566871643,28,0.61,28.03,historical
pass_blitzed__player_roll10,1.6498591899871826,29,0.61,28.64,rolling
pass_hurried__player_hist,1.6425577402114868,30,0.6,29.24,historical
pass_drop_pct__player_std5,1.6367558240890503,31,0.6,29.84,rolling
pass_cmp__player_roll10,1.634877324104309,32,0.6,30.44,rolling
pass_yds__player_hist_z,1.6309534311294556,33,0.6,31.04,historical
pass_att__player_roll5,1.621524453163147,34,0.6,31.64,rolling
qb_rush_yac__player_std3,1.6173639297485352,35,0.59,32.23,rolling
pass_sacked__player_roll5,1.6151007413864136,36,0.59,32.82,rolling
pass_pressured_pct__player_std5,1.6131877899169922,37,0.59,33.41,rolling
pass_air_yds__player_std3,1.5974712371826172,38,0.59,34.0,rolling
pass_pressured_pct__player_std10,1.5932103395462036,39,0.59,34.59,rolling
qb_rush_att__player_std3,1.5813945531845093,40,0.58,35.17,rolling
pass_td__player_std5,1.5676937103271484,41,0.58,35.75,rolling
pass_td__player_hist_z,1.5629023313522339,42,0.57,36.32,historical
pass_att__player_std10,1.553680419921875,43,0.57,36.89,rolling
pass_cmp__player_hist_z,1.5443055629730225,44,0.57,37.46,historical
pass_sacked__player_std3,1.5265717506408691,45,0.56,38.02,rolling
