feature1,feature2,correlation
pass_att__player_hist,pass_cmp__player_hist,0.9783417156525871
qb_rush_yds__player_hist,qb_rush_yds__player_hist_z,0.9771963048712858
pass_att__player_roll10,pass_cmp__player_roll10,0.9755417363634267
pass_att__player_hist_z,pass_cmp__player_hist_z,0.9733351675645956
pass_att__player_roll5,pass_cmp__player_roll5,0.970003929262983
qb_rush_att__player_hist,qb_rush_att__player_hist_z,0.9680157727752824
qb_rush_att__player_hist,qb_rush_att__player_roll10,0.9669069829925511
qb_rush_yac__player_hist,qb_rush_yac__player_hist_z,0.9642537714509398
pass_att__player_roll3,pass_cmp__player_roll3,0.9632959592177648
qb_rush_att__player_roll10,qb_rush_att__player_roll5,0.9591958296833263
qb_rush_yds__player_hist,qb_rush_yds__player_roll10,0.9580889381934984
pass_cmp__player_hist,pass_yds__player_hist,0.9567689584432152
pass_att__player_hist,pass_att__player_roll10,0.9548883875139248
pass_cmp__player_hist,pass_cmp__player_roll10,0.9535485179828139
pass_air_yds__player_hist,pass_yds__player_hist,0.9532964844894554
qb_rush_att__player_hist_z,qb_rush_yds__player_hist_z,0.9516931915500279
qb_rush_yds__player_roll10,qb_rush_yds__player_roll5,0.9514152349899947
qb_rush_td__player_hist,qb_rush_td__player_hist_z,0.9513681232141823
qb_rush_att__player_roll3,qb_rush_att__player_roll5,0.9512736974435458
qb_rush_att__player_hist,qb_rush_yds__player_hist,0.9509920690584129
pass_yds__player_hist,pass_yds__player_roll10,0.949832971208234
pass_poor_throw_pct__player_hist,pass_poor_throw_pct__player_roll10,0.9484466631218195
pass_yac__player_hist,pass_yac__player_roll10,0.9482027627514041
pass_first_down_pct__player_hist,pass_first_down_pct__player_roll10,0.9480736220600356
pass_tgt_yds_per_att__player_hist,pass_tgt_yds_per_att__player_roll10,0.9478888473300932
pass_cmp__player_hist_z,pass_yds__player_hist_z,0.9466686214966119
pass_cmp__player_roll10,pass_yds__player_roll10,0.9455670972807207
qb_rush_yds__player_roll3,qb_rush_yds__player_roll5,0.9451516288845174
pass_air_yds__player_hist_z,pass_yds__player_hist_z,0.9448673105652441
pass_cmp__player_roll10,pass_cmp__player_roll5,0.9445052251619258
pass_att__player_roll10,pass_att__player_roll5,0.9434269760900048
pass_yac_per_cmp__player_hist,pass_yac_per_cmp__player_roll10,0.9427456263719987
pass_rating__player_hist,pass_rating__player_roll10,0.9425797096460095
pass_yds__player_roll10,pass_yds__player_roll5,0.9420575776301859
pass_yac__player_hist,pass_yds__player_hist,0.9408321504693277
pass_air_yds__player_roll10,pass_yds__player_roll10,0.9407752364061567
pass_cmp__player_roll3,pass_cmp__player_roll5,0.939657022746943
pass_att__player_hist,pass_yds__player_hist,0.9392155292012226
pass_hits__player_hist,pass_hits__player_hist_z,0.9389287270856641
pass_att__player_roll3,pass_att__player_roll5,0.9378363230141775
qb_rush_yds__player_hist_z,qb_rush_yds__player_roll10,0.9374829134778131
qb_rush_att__player_hist_z,qb_rush_att__player_roll10,0.9369609544231727
pass_yds__player_roll3,pass_yds__player_roll5,0.9363454366641282
qb_rush_broken_tackles__player_hist,qb_rush_broken_tackles__player_hist_z,0.936287013538377
qb_rush_yac__player_hist,qb_rush_yac__player_roll10,0.9359488505653025
pass_cmp__player_roll5,pass_yds__player_roll5,0.9355455830891648
pass_att__player_roll10,pass_cmp__player_hist,0.9351383441960086
pass_air_yds_per_att__player_hist,pass_air_yds_per_att__player_roll10,0.9345583658300622
pass_pressured_pct__player_hist,pass_pressured_pct__player_roll10,0.9344228730041574
qb_rush_yac__player_roll10,qb_rush_yac__player_roll5,0.933354607758288
qb_rush_att__player_roll10,qb_rush_yds__player_roll10,0.9332429592216638
pass_att__player_hist,pass_cmp__player_roll10,0.9330359311078362
pass_tgt_yds_per_att__player_roll10,pass_tgt_yds_per_att__player_roll5,0.9330118874066645
pass_yac__player_hist_z,pass_yds__player_hist_z,0.9319528364004576
qb_rush_att__player_hist_z,qb_rush_yds__player_hist,0.9311272965492549
pass_first_down_pct__player_roll10,pass_first_down_pct__player_roll5,0.9308040016755025
pass_air_yds__player_hist,pass_air_yds__player_roll10,0.9307175502315803
pass_yac__player_roll10,pass_yac__player_roll5,0.9301578795367069
pass_air_yds_per_cmp__player_hist,pass_air_yds_per_cmp__player_roll10,0.9292075889442442
pass_air_yds__player_roll5,pass_yds__player_roll5,0.9288806445523231
pass_air_yds__player_roll10,pass_air_yds__player_roll5,0.9272641371825826
pass_sacked__player_hist,pass_sacked__player_hist_z,0.9269828721447548
