feature,importance,rank,importance_pct,cumulative_pct,category
pass_yds__player_roll5,173980.140625,1,11.42,11.42,rolling
pass_cmp__player_roll5,115419.8671875,2,7.58,19.0,rolling
pass_yds__player_roll10,48083.95703125,3,3.16,22.16,rolling
pass_yds__player_hist,46578.51171875,4,3.06,25.22,historical
pass_att__player_roll5,45947.89453125,5,3.02,28.24,rolling
pass_td__player_hist_z,37685.6328125,6,2.47,30.71,historical
qb_rush_td__player_roll5,25379.65234375,7,1.67,32.38,rolling
qb_rush_broken_tackles__player_std3,21256.521484375,8,1.4,33.78,rolling
qb_rush_broken_tackles__player_roll3,20800.01171875,9,1.37,35.15,rolling
pass_rating__player_hist,18550.791015625,10,1.22,36.37,historical
pass_air_yds__player_roll3,16759.130859375,11,1.1,37.47,rolling
pass_td__player_roll3,15676.16015625,12,1.03,38.5,rolling
qb_rush_td__player_std10,13343.732421875,13,0.88,39.38,rolling
qb_rush_broken_tackles__player_std10,12767.6591796875,14,0.84,40.22,rolling
qb_rush_yds__player_hist,12696.3154296875,15,0.83,41.05,historical
pass_yac_per_cmp__player_std10,12160.9267578125,16,0.8,41.85,rolling
qb_rush_yac__player_std10,12144.291015625,17,0.8,42.65,rolling
pass_int__player_std10,10905.001953125,18,0.72,43.37,rolling
qb_rush_att__player_hist_z,10879.2294921875,19,0.71,44.08,historical
pass_int__player_roll10,10816.8701171875,20,0.71,44.79,rolling
pass_td__player_roll10,10725.783203125,21,0.7,45.49,rolling
pass_int__player_roll5,10009.1904296875,22,0.66,46.15,rolling
pass_tgt_yds_per_att__player_hist_z,9737.716796875,23,0.64,46.79,historical
pass_int__player_hist_z,9456.2666015625,24,0.62,47.41,historical
pass_td__player_hist,9299.0458984375,25,0.61,48.02,historical
pass_cmp__player_hist,9289.6552734375,26,0.61,48.63,historical
qb_rush_td__player_roll3,9193.6279296875,27,0.6,49.23,rolling
pass_tgt_yds_per_att__player_std10,8919.0146484375,28,0.59,49.82,rolling
qb_rush_td__player_roll10,8722.4970703125,29,0.57,50.39,rolling
pass_blitzed__player_hist_z,8684.3017578125,30,0.57,50.96,historical
qb_rush_td__player_hist,8633.7021484375,31,0.57,51.53,historical
pass_air_yds__player_hist,8613.6669921875,32,0.57,52.1,historical
qb_rush_att__player_hist,8574.26171875,33,0.56,52.66,historical
pass_rating__player_roll10,8103.98828125,34,0.53,53.19,rolling
pass_air_yds__player_roll5,7906.55712890625,35,0.52,53.71,rolling
pass_yac__player_roll5,7707.14501953125,36,0.51,54.22,rolling
pass_cmp__player_roll3,7686.16162109375,37,0.5,54.72,rolling
pass_int__player_std3,7671.2841796875,38,0.5,55.22,rolling
is_favorite,7607.42138671875,39,0.5,55.72,lines
pass_sacked__player_roll10,7110.513671875,40,0.47,56.19,rolling
pass_int__player_hist,7037.73681640625,41,0.46,56.65,historical
pass_sacked__player_hist_z,7013.412109375,42,0.46,57.11,historical
qb_rush_att__player_roll5,6960.4736328125,43,0.46,57.57,rolling
pass_att__player_roll3,6959.05322265625,44,0.46,58.03,rolling
pass_rating__player_hist_z,6898.34228515625,45,0.45,58.48,historical
qb_rush_td__player_hist_z,6834.72314453125,46,0.45,58.93,historical
pass_att__player_std3,6820.94921875,47,0.45,59.38,rolling
qb_rush_yds__player_roll10,6767.5166015625,48,0.44,59.82,rolling
pass_poor_throw_pct__player_hist_z,6593.51220703125,49,0.43,60.25,historical
qb_rush_att__player_std3,6480.79150390625,50,0.43,60.68,rolling
pass_pressured_pct__player_std10,6430.6923828125,51,0.42,61.1,rolling
qb_rush_yds__player_std10,6391.95703125,52,0.42,61.52,rolling
qb_rush_broken_tackles__player_roll5,6390.3017578125,53,0.42,61.94,rolling
pass_blitzed__player_std5,6374.22900390625,54,0.42,62.36,rolling
pass_hits__player_std10,6334.97705078125,55,0.42,62.78,rolling
pass_yac__player_std5,6301.6279296875,56,0.41,63.19,rolling
pass_tgt_yds_per_att__player_std3,6290.05615234375,57,0.41,63.6,rolling
qb_rush_broken_tackles__player_hist,6277.62255859375,58,0.41,64.01,historical
pass_air_yds__player_std5,6249.119140625,59,0.41,64.42,rolling
pass_yds__player_std5,6233.232421875,60,0.41,64.83,rolling
pass_yac_per_cmp__player_std3,6172.9482421875,61,0.41,65.24,rolling
pass_air_yds_per_att__player_std10,6156.4423828125,62,0.4,65.64,rolling
pass_att__player_std5,6068.38232421875,63,0.4,66.04,rolling
pass_air_yds_per_att__player_roll10,6012.9716796875,64,0.39,66.43,rolling
pass_rating__player_std10,5920.3984375,65,0.39,66.82,rolling
pass_air_yds_per_cmp__player_roll5,5812.20556640625,66,0.38,67.2,rolling
pass_tgt_yds_per_att__player_roll5,5791.0625,67,0.38,67.58,rolling
pass_first_down_pct__player_std5,5703.97216796875,68,0.37,67.95,rolling
pass_poor_throw_pct__player_roll10,5676.0244140625,69,0.37,68.32,rolling
game_total,5643.142578125,70,0.37,68.69,lines
pass_first_down_pct__player_hist,5631.8515625,71,0.37,69.06,historical
pass_poor_throw_pct__player_std5,5607.8359375,72,0.37,69.43,rolling
pass_td__player_std5,5451.5869140625,73,0.36,69.79,rolling
pass_air_yds_per_cmp__player_hist_z,5410.40185546875,74,0.36,70.15,historical
pass_air_yds__player_std3,5337.66552734375,75,0.35,70.5,rolling
team_implied_total,5298.1240234375,76,0.35,70.85,lines
qb_rush_broken_tackles__player_hist_z,5275.4453125,77,0.35,71.2,historical
weeks_from_bye,5242.9609375,78,0.34,71.54,other
pass_yac__player_roll3,5168.833984375,79,0.34,71.88,rolling
qb_rush_yac__player_hist_z,5160.5732421875,80,0.34,72.22,historical
pass_hits__player_roll5,5117.89453125,81,0.34,72.56,rolling
pass_tgt_yds_per_att__player_std5,5090.47509765625,82,0.33,72.89,rolling
pass_att__player_std10,5064.22802734375,83,0.33,73.22,rolling
qb_rush_yds__player_roll3,5026.5556640625,84,0.33,73.55,rolling
pass_yac_per_cmp__player_roll10,4992.458984375,85,0.33,73.88,rolling
pass_hurried__player_hist,4950.82421875,86,0.33,74.21,historical
pass_poor_throw_pct__player_roll5,4947.982421875,87,0.32,74.53,rolling
pass_air_yds_per_att__player_hist_z,4933.10986328125,88,0.32,74.85,historical
qb_rush_yac__player_roll5,4911.00146484375,89,0.32,75.17,rolling
pass_tgt_yds_per_att__player_roll10,4850.7939453125,90,0.32,75.49,rolling
pass_yac__player_hist_z,4845.06640625,91,0.32,75.81,historical
pass_yds__player_std3,4814.21533203125,92,0.32,76.13,rolling
pass_rating__player_std5,4756.1953125,93,0.31,76.44,rolling
qb_rush_att__player_std10,4744.1005859375,94,0.31,76.75,rolling
pass_rating__player_roll3,4725.48486328125,95,0.31,77.06,rolling
pass_drop_pct__player_roll3,4679.1171875,96,0.31,77.37,rolling
pass_air_yds_per_cmp__player_std5,4650.69970703125,97,0.31,77.68,rolling
pass_drop_pct__player_std5,4648.55322265625,98,0.31,77.99,rolling
pass_rating__player_std3,4644.23046875,99,0.3,78.29,rolling
pass_hurried__player_std5,4642.0576171875,100,0.3,78.59,rolling
pass_att__player_roll10,4582.6904296875,101,0.3,78.89,rolling
pass_drop_pct__player_std3,4566.66943359375,102,0.3,79.19,rolling
spread_magnitude,4565.28271484375,103,0.3,79.49,lines
pass_first_down_pct__player_roll3,4540.61083984375,104,0.3,79.79,rolling
pass_yac__player_hist,4424.29345703125,105,0.29,80.08,historical
pass_first_down_pct__player_std10,4406.35107421875,106,0.29,80.37,rolling
pass_yac__player_std3,4380.166015625,107,0.29,80.66,rolling
qb_rush_yds__player_std3,4339.3037109375,108,0.28,80.94,rolling
pass_hurried__player_hist_z,4283.75048828125,109,0.28,81.22,historical
pass_drop_pct__player_hist,4229.60693359375,110,0.28,81.5,historical
qb_rush_yds__player_roll5,4228.6923828125,111,0.28,81.78,rolling
pass_hits__player_std5,4163.39892578125,112,0.27,82.05,rolling
pass_poor_throw_pct__player_hist,4084.76806640625,113,0.27,82.32,historical
pass_pressured_pct__player_roll10,4043.369384765625,114,0.27,82.59,rolling
pass_drop_pct__player_std10,4019.74169921875,115,0.26,82.85,rolling
pass_sacked__player_roll3,4003.1826171875,116,0.26,83.11,rolling
pass_air_yds__player_hist_z,3996.237548828125,117,0.26,83.37,historical
opp_pass_yds_allowed_hist,3992.993896484375,118,0.26,83.63,defense
pass_sacked__player_roll5,3964.798095703125,119,0.26,83.89,rolling
pass_air_yds_per_att__player_std5,3921.115966796875,120,0.26,84.15,rolling
qb_rush_att__player_roll3,3863.69677734375,121,0.25,84.4,rolling
pass_first_down_pct__player_roll5,3857.521484375,122,0.25,84.65,rolling
