feature,importance,rank,importance_pct,cumulative_pct,category
rush_yds__player_roll5,28471.654296875,1,20.88,20.88,rolling
rush_att__player_roll3,8694.1298828125,2,6.38,27.26,rolling
rush_yds__player_roll10,3393.01806640625,3,2.49,29.75,rolling
rush_att__player_roll10,3099.444091796875,4,2.27,32.02,rolling
rush_yds__player_roll3,2995.501220703125,5,2.2,34.22,rolling
rush_yds__player_hist_z,2406.1259765625,6,1.76,35.98,historical
rush_yac__player_roll10,2406.068115234375,7,1.76,37.74,rolling
fumbles_lost__player_std10,2147.073974609375,8,1.57,39.31,rolling
rush_yds__player_hist,1969.072021484375,9,1.44,40.75,historical
rush_att__player_hist_z,1920.5625,10,1.41,42.16,historical
rush_yds_before_contact__player_hist_z,1841.2144775390625,11,1.35,43.51,historical
rush_td__player_std5,1756.54638671875,12,1.29,44.8,rolling
rush_td__player_roll5,1656.0465087890625,13,1.21,46.01,rolling
rush_td__player_std3,1629.7440185546875,14,1.2,47.21,rolling
rush_yds_before_contact__player_roll5,1576.93212890625,15,1.16,48.37,rolling
rush_td__player_roll10,1548.577392578125,16,1.14,49.51,rolling
rush_broken_tackles_per_rush__player_std3,1547.7535400390625,17,1.14,50.65,rolling
rush_yac__player_roll3,1545.029296875,18,1.13,51.78,rolling
rush_yac_per_rush__player_roll5,1449.6885986328125,19,1.06,52.84,rolling
rush_td__player_roll3,1435.2337646484375,20,1.05,53.89,rolling
rush_td__player_std10,1320.98876953125,21,0.97,54.86,rolling
rush_broken_tackles_per_rush__player_roll3,1304.218017578125,22,0.96,55.82,rolling
rush_broken_tackles_per_rush__player_std10,1249.266845703125,23,0.92,56.74,rolling
rush_yac__player_std10,1236.028564453125,24,0.91,57.65,rolling
rush_yds_before_contact__player_roll3,1222.65869140625,25,0.9,58.55,rolling
rush_td__player_hist,1217.680908203125,26,0.89,59.44,historical
rush_broken_tackles_per_rush__player_hist_z,1193.2982177734375,27,0.88,60.32,historical
rush_yds_bc_per_rush__player_hist,1185.6224365234375,28,0.87,61.19,historical
rush_yac_per_rush__player_roll10,1174.0924072265625,29,0.86,62.05,rolling
fumbles__player_std5,1164.2677001953125,30,0.85,62.9,rolling
rush_yac_per_rush__player_hist_z,1136.660400390625,31,0.83,63.73,historical
rush_att__player_roll5,1133.070556640625,32,0.83,64.56,rolling
rush_broken_tackles_per_rush__player_std5,1132.2095947265625,33,0.83,65.39,rolling
rush_yac__player_std3,1125.7275390625,34,0.83,66.22,rolling
rush_yac__player_hist_z,1124.962158203125,35,0.83,67.05,historical
rush_yds_before_contact__player_roll10,1113.513427734375,36,0.82,67.87,rolling
rush_yac_per_rush__player_roll3,1111.692138671875,37,0.82,68.69,rolling
rush_yac__player_std5,1110.4229736328125,38,0.81,69.5,rolling
rush_yds__player_std10,1094.23974609375,39,0.8,70.3,rolling
rush_yds__player_std3,1087.6090087890625,40,0.8,71.1,rolling
rush_broken_tackles_per_rush__player_roll5,1056.75390625,41,0.78,71.88,rolling
rush_att__player_std5,1055.7518310546875,42,0.77,72.65,rolling
rush_yac__player_hist,1051.4908447265625,43,0.77,73.42,historical
rush_broken_tackles_per_rush__player_roll10,1051.284912109375,44,0.77,74.19,rolling
rush_att__player_std3,1043.75927734375,45,0.77,74.96,rolling
rush_yac_per_rush__player_hist,1043.5736083984375,46,0.77,75.73,historical
rush_yds__player_std5,1040.773681640625,47,0.76,76.49,rolling
rush_yds_before_contact__player_hist,1022.5101928710938,48,0.75,77.24,historical
fumbles_lost__player_roll10,1004.7515869140625,49,0.74,77.98,rolling
rush_yac__player_roll5,998.241455078125,50,0.73,78.71,rolling
rush_yac_per_rush__player_std10,989.6918334960938,51,0.73,79.44,rolling
rush_broken_tackles_per_rush__player_hist,982.9814453125,52,0.72,80.16,historical
rush_td__player_hist_z,963.5709228515625,53,0.71,80.87,historical
team_implied_total,959.4157104492188,54,0.7,81.57,lines
weeks_from_bye,951.3204345703125,55,0.7,82.27,other
fumbles__player_roll5,950.278564453125,56,0.7,82.97,rolling
rush_yds_bc_per_rush__player_roll10,941.810546875,57,0.69,83.66,rolling
rush_yds_before_contact__player_std5,933.8113403320312,58,0.68,84.34,rolling
rush_yds_bc_per_rush__player_roll5,919.0706787109375,59,0.67,85.01,rolling
rush_att__player_std10,913.13525390625,60,0.67,85.68,rolling
player_vs_opp_games,885.6000366210938,61,0.65,86.33,matchup
fumbles__player_roll10,873.2037963867188,62,0.64,86.97,rolling
rush_yds_bc_per_rush__player_std10,817.7896728515625,63,0.6,87.57,rolling
rush_yds_before_contact__player_std3,799.6077270507812,64,0.59,88.16,rolling
opp_rush_yds_allowed_hist,794.6370239257812,65,0.58,88.74,defense
rush_yac_per_rush__player_std5,782.3186645507812,66,0.57,89.31,rolling
rush_yac_per_rush__player_std3,768.3936767578125,67,0.56,89.87,rolling
rush_yds_bc_per_rush__player_std5,763.8209228515625,68,0.56,90.43,rolling
rush_yds_bc_per_rush__player_std3,748.5133666992188,69,0.55,90.98,rolling
fumbles__player_std10,746.001953125,70,0.55,91.53,rolling
player_vs_opp_avg,740.68310546875,71,0.54,92.07,matchup
rush_yds_bc_per_rush__player_roll3,724.075439453125,72,0.53,92.6,rolling
opp_implied_total,717.4362182617188,73,0.53,93.13,lines
spread_magnitude,711.7889404296875,74,0.52,93.65,lines
fumbles_lost__player_hist,684.5259399414062,75,0.5,94.15,historical
rush_yds_before_contact__player_std10,674.2249145507812,76,0.49,94.64,rolling
is_favorite,672.5210571289062,77,0.49,95.13,lines
rush_yds_bc_per_rush__player_hist_z,663.005126953125,78,0.49,95.62,historical
fumbles_lost__player_hist_z,613.6967163085938,79,0.45,96.07,historical
rush_td_rate__hist,611.3619995117188,80,0.45,96.52,historical
fumbles__player_hist_z,594.5853881835938,81,0.44,96.96,historical
fumbles_lost__player_roll5,585.712158203125,82,0.43,97.39,rolling
rush_att__player_hist,566.605224609375,83,0.42,97.81,historical
yds_per_carry__hist,547.2310180664062,84,0.4,98.21,historical
game_total,541.0646362304688,85,0.4,98.61,lines
fumbles_lost__player_roll3,452.9942932128906,86,0.33,98.94,rolling
fumbles__player_roll3,382.2783203125,87,0.28,99.22,rolling
fumbles__player_hist,363.34576416015625,88,0.27,99.49,historical
days_rest,343.8160705566406,89,0.25,99.74,other
fumbles__player_std3,170.34759521484375,90,0.12,99.86,rolling
fumbles_lost__player_std5,116.68440246582031,91,0.09,99.95,rolling
fumbles_lost__player_std3,74.41718292236328,92,0.05,100.0,rolling
