feature1,feature2,correlation
rush_yds__player_hist,rush_yds__player_hist_z,0.9755984518999513
rush_yac__player_hist,rush_yac__player_hist_z,0.9750201842461603
rush_att__player_hist,rush_att__player_hist_z,0.9747207640773037
rush_yds_before_contact__player_hist,rush_yds_before_contact__player_hist_z,0.9711911524050866
rush_broken_tackles_per_rush__player_hist,rush_broken_tackles_per_rush__player_hist_z,0.9649591696534386
rush_td__player_hist,rush_td__player_hist_z,0.9648756790848927
rush_att__player_roll3,rush_att__player_roll5,0.9557568112297159
rush_att__player_hist_z,rush_yds__player_hist_z,0.9555217501544326
rush_att__player_hist,rush_yds__player_hist,0.9550550193757439
rush_yds__player_hist_z,rush_yds_before_contact__player_hist_z,0.9527943696001298
rush_yac__player_hist_z,rush_yds__player_hist_z,0.9527613394752175
rush_att__player_roll10,rush_att__player_roll5,0.9505350221498873
rush_yds__player_hist,rush_yds_before_contact__player_hist,0.9495637620251679
rush_yac__player_hist,rush_yds__player_hist,0.948519348266716
rush_att__player_roll10,rush_yds__player_roll10,0.9457682619468472
rush_yds__player_roll10,rush_yds_before_contact__player_roll10,0.9451918886096231
rush_yac__player_roll10,rush_yds__player_roll10,0.9403138367177364
rush_yds__player_roll5,rush_yds_before_contact__player_roll5,0.9362557421983215
rush_yds__player_roll3,rush_yds__player_roll5,0.9345957316065117
rush_yds__player_roll10,rush_yds__player_roll5,0.9345774359324549
rush_yds_bc_per_rush__player_hist,rush_yds_bc_per_rush__player_roll10,0.9334235270110737
rush_att__player_hist,rush_att__player_roll10,0.9333847041919573
rush_att__player_hist_z,rush_yac__player_hist_z,0.9322148330714439
rush_att__player_roll5,rush_yds__player_roll5,0.9316283149459871
rush_att__player_hist_z,rush_yds__player_hist,0.931526264525508
rush_att__player_hist,rush_yds__player_hist_z,0.930914472229013
rush_yac__player_roll5,rush_yds__player_roll5,0.9291151517231312
rush_att__player_hist,rush_yac__player_hist,0.9289782603096192
rush_yac__player_hist_z,rush_yds__player_hist,0.9287750151817894
rush_yds__player_hist,rush_yds_before_contact__player_hist_z,0.9286332349491774
rush_yac__player_hist,rush_yds__player_hist_z,0.9276677993298285
rush_yac__player_roll3,rush_yac__player_roll5,0.9268468426211266
rush_yds__player_roll3,rush_yds_before_contact__player_roll3,0.9254485641702954
rush_yac__player_roll10,rush_yac__player_roll5,0.9254020718676994
rush_yds__player_hist_z,rush_yds_before_contact__player_hist,0.924121923129198
rush_yds__player_hist,rush_yds__player_roll10,0.923423424396422
rush_yds_before_contact__player_roll10,rush_yds_before_contact__player_roll5,0.9207565469893052
rush_yac__player_hist,rush_yac__player_roll10,0.9198105518966948
fumbles__player_hist,fumbles__player_hist_z,0.9159721729983087
rush_yac_per_rush__player_hist,rush_yac_per_rush__player_roll10,0.9157603638950029
rush_yds_before_contact__player_roll3,rush_yds_before_contact__player_roll5,0.9155226174456279
rush_yac__player_roll3,rush_yds__player_roll3,0.9147684662285108
rush_att__player_roll3,rush_yds__player_roll3,0.9143877258292384
rush_att__player_roll5,rush_yds__player_roll10,0.9117025943850151
rush_yds_before_contact__player_hist,rush_yds_before_contact__player_roll10,0.9096174336888311
rush_att__player_roll10,rush_yds__player_hist,0.907914099270435
rush_att__player_hist,rush_yac__player_hist_z,0.9077559342954362
rush_att__player_hist_z,rush_yac__player_hist,0.9072818772526003
rush_att__player_hist_z,rush_att__player_roll10,0.9070244675963235
rush_att__player_roll10,rush_yac__player_roll10,0.9061364795696928
rush_yds_bc_per_rush__player_hist,rush_yds_bc_per_rush__player_hist_z,0.9020273347702552
rush_att__player_roll3,rush_yds__player_roll5,0.900393768117471
